N,P,K,temperature,humidity,ph,rainfall,label,fertilizer_type,pesticide_type,irigation_level,base_yield,crop_yield(per hectre),climate_suitability,disease_risk_predcition
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,Nitrogen-Rich,Fungicide,High,570.4054415,558.4491542,High,Moderate
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Neutral,Herbicide,High,589.6081558,576.0897679,High,Moderate
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,Phosphorus-Rich,Fungicide,Medium,501.2960251,444.9954565,High,High
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,Nitrogen-Rich,Insecticide,High,495.7878947,392.4024811,High,Moderate
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Nitrogen-Rich,Herbicide,Medium,526.0670636,534.9992351,High,Moderate
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,Neutral,Fungicide,Medium,485.4685096,419.7163133,High,High
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Phosphorus-Rich,Fungicide,Medium,523.7507187,467.7836607,High,Moderate
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,Neutral,Fungicide,High,607.4586466,598.5242247,High,Moderate
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,Neutral,Fungicide,High,593.2338343,476.3335761,High,High
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,Phosphorus-Rich,Fungicide,High,528.3991152,456.8856357,High,High
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,Neutral,Insecticide,Medium,601.0723112,459.7262055,High,Moderate
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Nitrogen-Rich,Insecticide,Medium,581.0535553,503.2574534,High,Moderate
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,Neutral,Insecticide,Medium,573.9727458,438.8106555,High,Moderate
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Neutral,Fungicide,High,607.9461041,518.302697,High,High
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Nitrogen-Rich,Insecticide,High,598.4309919,487.3457483,High,Moderate
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,Neutral,Insecticide,High,476.1058288,417.5422964,High,Moderate
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,Nitrogen-Rich,Fungicide,Medium,540.9427167,505.7984653,High,Moderate
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,Nitrogen-Rich,Insecticide,High,551.7860434,493.3867885,High,Moderate
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,Nitrogen-Rich,Herbicide,High,504.1075824,491.9220358,High,Moderate
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,Nitrogen-Rich,Fungicide,Medium,544.5161109,457.0418228,High,High
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Nitrogen-Rich,Herbicide,High,563.3448916,558.7179472,High,Moderate
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,Nitrogen-Rich,Fungicide,High,520.4962451,408.9240714,High,High
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,Phosphorus-Rich,Herbicide,High,529.6424391,506.8148854,High,Moderate
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,Nitrogen-Rich,Fungicide,High,543.9490655,521.4373399,High,Moderate
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,Nitrogen-Rich,Insecticide,High,603.5866412,536.1527633,High,Moderate
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,Phosphorus-Rich,Insecticide,Medium,513.3748432,431.6354826,High,Moderate
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,Neutral,Fungicide,Medium,643.0138388,462.3475385,High,High
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Nitrogen-Rich,Insecticide,Medium,613.9503729,529.3571056,High,Moderate
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,Neutral,Fungicide,High,485.8192556,453.4142668,High,Moderate
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,Neutral,Herbicide,High,560.2277582,531.8451275,High,Moderate
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,Neutral,Fungicide,Medium,547.6234874,491.5177221,High,Moderate
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,Nitrogen-Rich,Herbicide,High,555.4422184,533.4941415,High,Moderate
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,Nitrogen-Rich,Fungicide,High,537.7643834,440.1241119,High,High
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,Neutral,Herbicide,Medium,617.6970322,624.3814494,High,Moderate
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Neutral,Fungicide,High,599.9179408,448.266593,High,High
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,Neutral,Fungicide,High,623.7251238,461.2498957,High,High
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,Neutral,Insecticide,Medium,631.6124374,480.3002856,High,Moderate
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,Nitrogen-Rich,Fungicide,Medium,572.9821485,479.4148816,High,High
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,Neutral,Fungicide,Medium,470.0868879,448.6797781,High,Moderate
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,Neutral,Fungicide,Medium,481.5756452,391.4193468,High,High
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Neutral,Fungicide,High,463.4653854,417.9003636,High,Moderate
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,Neutral,Fungicide,High,491.6208947,372.9058027,High,High
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,Neutral,Insecticide,High,583.0646951,482.4859025,High,Moderate
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,Nitrogen-Rich,Fungicide,Medium,536.9527007,432.1312517,High,High
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,Neutral,Fungicide,Medium,585.4710379,441.6802892,High,High
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,Nitrogen-Rich,Insecticide,High,551.2333424,467.37702,High,Moderate
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,Nitrogen-Rich,Fungicide,High,542.1548034,415.474785,High,High
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,Nitrogen-Rich,Fungicide,High,502.8481191,418.7708229,High,High
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,Nitrogen-Rich,Herbicide,High,528.2587897,514.2283268,High,Moderate
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,Neutral,Insecticide,Medium,600.956537,517.179021,High,Moderate
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,Neutral,Fungicide,High,453.0828357,387.7359796,High,High
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,Neutral,Herbicide,High,558.7449851,584.1745354,High,Moderate
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,Neutral,Fungicide,High,616.9212302,527.7633974,High,High
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,Phosphorus-Rich,Herbicide,High,528.7171044,495.6300947,High,Moderate
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,Neutral,Fungicide,Medium,607.7850901,442.7056013,High,High
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,Nitrogen-Rich,Fungicide,Medium,505.6335289,414.8937474,High,High
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,Neutral,Fungicide,High,541.6065542,410.8941449,High,High
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,Nitrogen-Rich,Fungicide,Medium,565.0273594,467.5369117,High,High
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,Nitrogen-Rich,Fungicide,High,508.9982802,509.3062293,High,Moderate
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,Neutral,Herbicide,Medium,622.0224587,609.924469,High,Moderate
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,Nitrogen-Rich,Fungicide,High,494.656392,491.4630202,High,Moderate
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,Neutral,Fungicide,High,593.7151917,447.4871355,High,High
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,Neutral,Fungicide,Medium,614.2562447,586.1269443,High,Moderate
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,Neutral,Herbicide,High,483.9101733,467.4879911,High,Moderate
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,Nitrogen-Rich,Fungicide,Medium,532.5416454,524.6135919,High,Moderate
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,Nitrogen-Rich,Fungicide,High,592.2154303,486.2062888,High,High
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,Neutral,Herbicide,High,622.1157975,623.2629893,High,Moderate
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,Neutral,Fungicide,High,590.8965087,461.2364226,High,High
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,Neutral,Insecticide,Medium,505.0845858,456.0479927,High,Moderate
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,Neutral,Insecticide,Medium,601.0868602,544.3619189,High,Moderate
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,Phosphorus-Rich,Fungicide,High,495.3164391,385.0489413,High,High
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,Neutral,Fungicide,Medium,491.4847412,443.198047,High,Moderate
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,Nitrogen-Rich,Fungicide,Medium,526.6025413,422.6294995,High,High
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,Nitrogen-Rich,Fungicide,High,530.3609334,499.2122934,High,Moderate
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,Neutral,Fungicide,Medium,543.2772396,386.3318067,High,High
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,Nitrogen-Rich,Herbicide,Medium,583.8981962,541.8348023,High,Moderate
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,Neutral,Insecticide,Medium,508.4561598,381.0041431,High,Moderate
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,Nitrogen-Rich,Insecticide,High,489.0989321,400.6354649,High,Moderate
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,Nitrogen-Rich,Insecticide,High,505.3837614,378.8856512,High,Moderate
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,Nitrogen-Rich,Fungicide,High,531.3800153,463.6664065,High,Moderate
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,Phosphorus-Rich,Insecticide,High,534.0988225,428.9563773,High,Moderate
